session_id,participant_code,skipped,piece_title_favourite,piece_description_one_line,authorship_attribution,authorship_reason,return_likelihood,return_conditions,context_of_use,context_other,target_user,target_user_other,remove_one_thing,add_one_thing,collaboration_expectation,collaboration_reason,confidence_recreate_tomorrow,created_at,updated_at
2345G,2345G,False,hi,hello,me,na,4,,"[""gallery_installation""]",,hobbyist,,,,easier_notes,,4,2026-01-04T20:46:12.374821+00:00,2026-01-04T20:46:12.374821+00:00
3456D,3456D,False,lololol,laughs,me,because my changes where obvious ,1,cake,"[""wellbeing_relaxation""]",,audience_participant,,abc,rythm,easier_visuals,,1,2026-01-04T20:55:28.894154+00:00,2026-01-04T20:55:28.894154+00:00
9746T,9746T,False,tom,,me,,4,,"[""festival_public_space""]",,audience_participant,,,,about_same,,4,2026-01-05T12:42:31.667567+00:00,2026-01-05T12:42:31.667567+00:00
5344J,5344J,False,Dawn to Dusk,waking up slowly with sunshine blasting into your eyelids,system,This seemed like the most coherend composition I could do with the basic understanding of the system i learned so far,7,larger light pannel and dark room would be really fun. Also a control pannel with movable sliders would be great,"[""live_performance"", ""gallery_installation"", ""festival_public_space"", ""education_workshop"", ""wellbeing_relaxation""]",,audience_participant,,,a few presets that can display different tempos and parameters for demonstation or as a base to start from,easier_notes,its more subjective than the visuals i think,2,2026-01-05T18:05:21.005945+00:00,2026-01-05T18:05:21.005945+00:00
5220H,5220H,False,Performance 4682,It feels quite serene and fully tonal. makes me think an object falling an d getting buffeted around by the  wind,shared,I did feel i changed stuff and choose where we went,7,"The option to change the midi sound, and more ergonomic/hand on controls, knobs and sliders and stuff ","[""live_performance"", ""gallery_installation"", ""wellbeing_relaxation""]",,other,look below,"I would remove the need for a computer/ screen 

I think they would all use it in a differnt way, some more visual others not ",soume more was to change the sound filters etc,not_sure,depends on the people ,6,2026-01-05T20:50:21.717014+00:00,2026-01-05T20:50:21.717014+00:00
1661J,1661J,False,Entropy,Synth raindrops followed by a storm of force,shared,"By the end I had a basic understanding of the system but there were still processes ""under the hood"" that lead to unexpected and fun outcomes ",6,More control out the audio imput opposed to a simple sine wave e.g. controlling a vst in some way,"[""home_sketching"", ""gallery_installation"", ""festival_public_space"", ""education_workshop"", ""wellbeing_relaxation""]",,complete_beginner,,UI could be improved,mapp UI to a midi instrument to give a more tactile response,not_sure,Havent experienced working with someone else. Also not sure of the benefit of two people tweaking the parameters,5,2026-01-06T12:50:29.459713+00:00,2026-01-06T12:50:29.459713+00:00
3483M,3483M,False,blipahhhhsquimmmmmbeep,"natures form and chaos in playful reciprocity, emergent, unpredictable, chaos, pleasurable random dance conversation",shared,it generated something interesting regardless of what I did or my proficiency or control,6,more imperfect play - quite liberating somehow,"[""live_performance"", ""wellbeing_relaxation""]",,other,various depending on reason/purpose,no,,easier_notes,,5,2026-01-06T16:49:36.148108+00:00,2026-01-06T16:49:36.148108+00:00
4939Z,4939Z,False,Weather changes,"Often, times of stability and calm are separated by chaos and disorder.",shared,it was a mixture of feeling like we were taking turns being 'in control'. ,7,Refining the controller settings to make it more user friendly. Having the instrument on the wall instead of tabletop,"[""home_sketching"", ""gallery_installation"", ""festival_public_space"", ""education_workshop"", ""wellbeing_relaxation""]",,composer_producer,,NA,preset chords would be useful for intuition and creating more conventional musical pieces e.g. harmonic movement & ability to select & save tone combinations would be useful.,easier_visuals,"For any two people, visuals as we have a more intuitive sense of this/language to communicate around it. If musicians, then they may be able to communicate tone changes more easily. ",5,2026-01-06T20:51:03.500629+00:00,2026-01-06T20:51:03.500629+00:00
4069S,4069S,False,Scaffolding impact driver,Evokes a sense of control over the choatic. Even if that chaotic is patterns that I can't disern.,shared,"I wasn't in full control at any moment, but understand I could impact the outcome.",7,The fun of playing with the instrument and system.,"[""studio_production"", ""live_performance"", ""gallery_installation"", ""festival_public_space"", ""education_workshop""]",,audience_participant,,Minimum population,"Touch screen controls. Alternative interface to the mouse, this felt like a rate limiting step.",not_sure,,3,2026-01-07T12:45:20.900957+00:00,2026-01-07T12:45:20.900957+00:00
6770L,6770L,False,Back to Open,Remembering a mental state of peace and flow. ,shared,"I felt ease, awareness and curiosity in the collaboration ",7,opportunity ,"[""home_sketching"", ""live_performance"", ""gallery_installation"", ""festival_public_space""]",,musician_performer,,The computer - a way to control it with a smaller less dominant controller,"Rhythmic element - some way to play around with this musical element - maybe thinking about the other musical elements - dynamics, timbre - how to incorporate all? ",not_sure,I can imagine that the difficulty might arise more in the dynamic between humans rather than the instrument/creative control or flexibility. ,5,2026-01-07T16:12:30.230305+00:00,2026-01-07T16:12:30.230305+00:00
7974C,7974C,False,a limited view of the space of sound representation,Too much and too little can lead to a thin gruel,unsure,All art requires constraints. I found these constraints hard for the time available.,5,The ability to change layouts,"[""home_sketching"", ""wellbeing_relaxation""]",,hobbyist,,the level of randomness,A keyboard,about_same,I think this depends on how similarly confident the individuals are,3,2026-01-07T19:31:12.322772+00:00,2026-01-07T19:31:12.322772+00:00
